City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Viransehir,TR,2021-04-24 17:10:45,37.2353,39.7631,69.19,26,4,0.96
147,Belmonte,BR,2021-04-24 17:10:46,-15.8631,-38.8828,82.4,69,40,13.8
148,Matara,LK,2021-04-24 17:10:46,5.9485,80.5353,78.64,87,80,3.58
149,Lasa,IT,2021-04-24 17:10:46,46.6166,10.7002,71.6,31,0,8.05
150,Narasannapeta,IN,2021-04-24 17:10:47,18.4167,84.05,81.03,82,7,5.41
151,Realeza,BR,2021-04-24 17:10:47,-25.7689,-53.5325,63.73,95,100,2.01
152,Blagoveshchenka,RU,2021-04-24 17:10:48,52.8333,79.8667,40.77,48,5,3.96
153,Flagstaff,US,2021-04-24 17:10:06,35.1981,-111.6513,59.0,26,1,21.85
154,Srivardhan,IN,2021-04-24 17:10:48,18.0333,73.0167,81.19,73,10,8.77
155,Rieti,IT,2021-04-24 17:10:48,42.4072,12.8592,71.6,20,0,5.75
156,Atuona,PF,2021-04-24 17:10:49,-9.8,-139.0333,80.42,75,36,21.56
157,Zunyi,CN,2021-04-24 17:10:49,27.6867,106.9072,60.64,89,98,8.23
158,Chernyshevskiy,RU,2021-04-24 17:10:49,63.0128,112.4714,25.9,97,93,2.21
159,Sitka,US,2021-04-24 17:06:57,57.0531,-135.33,51.8,37,1,3.8
160,Ratnagiri,IN,2021-04-24 17:10:50,16.9833,73.3,81.79,70,1,9.82
161,Kahului,US,2021-04-24 17:10:50,20.8947,-156.47,71.6,94,40,16.11
162,Maragogi,BR,2021-04-24 17:10:50,-9.0122,-35.2225,83.25,70,7,9.6
163,Bocas Del Toro,PA,2021-04-24 17:10:51,9.3333,-82.25,73.99,43,87,5.99
164,Wilmington,US,2021-04-24 17:09:46,34.2257,-77.9447,70.0,52,75,14.97
165,Derzhavinsk,KZ,2021-04-24 17:10:51,51.1,66.3167,47.68,45,100,16.49
